genre,count
Alternative a Punk,478
Rock,220
Pop,198
Indie Rock,173
Alternative,158
Western Pop,151
Electronica,119
"[""Alternative a Punk"" ""Alternative"" ""Alternative Rock""]",107
Alternative Rock,107
Metal,95
Other,72
Synth Pop,70
Adult Alternative Rock,70
"[""Alternative a Punk"" ""Indie Rock"" ""Indie Pop""]",61
Indie Pop,61
"[""Pop"" ""Western Pop"" ""Adult Alternative Pop""]",53
Adult Alternative Pop,53
Soundtrack,50
Brit Rock,46
TV Music,41
Mainstream Rock,40
"[""Alternative a Punk"" ""Indie Rock"" ""General Indie Rock""]",39
General Indie Rock,39
"[""Rock"" ""Mainstream Rock"" ""General Mainstream Rock""]",39
General Mainstream Rock,39
Alternative Folk,38
"[""Pop"" ""Western Pop"" ""Pop Vocal""]",38
Pop Vocal,38
Rap,37
Original Film,37
Electronica Mainstream,35
"[""Alternative a Punk"" ""Synth Pop"" ""Synth Pop""]",35
"[""Rock"" ""Adult Alternative Rock"" ""Adult Alternative Rock""]",35
European Pop,34
"[""Soundtrack"" ""Original Film"" ""TV Music"" ""General Film Music""]",33
General Film Music,33
Trance,32
Data a Other,32
"[""Alternative a Punk"" ""Alternative"" ""Alternative Singer-Songwriter""]",32
Alternative Singer-Songwriter,32
Classical,31
"[""Rock"" ""Metal"" ""Nu-Metal""]",30
Nu-Metal,30
Comedy,30
Urban,30
"[""Electronica"" ""Electronica Mainstream"" ""Pop Electronica""]",30
Pop Electronica,30
Game Music,26
New Wave Pop,26
Punk,25
"[""Alternative a Punk"" ""Indie Rock"" ""Post-Punk Revival""]",25
Post-Punk Revival,25
Downtempo Lounge a Ambient,24
[],23
"[""Alternative a Punk"" ""Brit Rock"" ""Brit Rock""]",23
"[""Rock"" ""Metal"" ""Progressive Metal""]",22
Progressive Metal,22
70's Rock,21
Western Hip-Hop,21
"[""Alternative a Punk"" ""Alternative Folk"" ""Alternative Folk""]",19
Hard Rock,17
"[""Alternative a Punk"" ""Punk"" ""Pop Punk""]",17
Pop Punk,17
"[""Electronica"" ""Trance"" ""Trance""]",16
Goth,16
"[""Other"" ""Data a Other"" ""Data a Other""]",16
"[""Pop"" ""Western Pop"" ""Dance Pop""]",16
Dance Pop,16
"[""Pop"" ""European Pop"" ""Eastern European Pop""]",15
Eastern European Pop,15
Classical Crossover,15
"[""Other"" ""Comedy"" ""Comedy""]",15
House,15
"[""Rock"" ""Hard Rock"" ""General Hard Rock""]",14
General Hard Rock,14
"[""Alternative a Punk"" ""Alternative"" ""Alternative Pop""]",14
Alternative Pop,14
Traditional,14
"[""Pop"" ""Western Pop"" ""Adult Contemporary""]",14
Adult Contemporary,14
New Age,14
Emo a Hardcore,13
"[""Classical"" ""Classical Crossover"" ""Classical Crossover Instrumental""]",13
Classical Crossover Instrumental,13
"[""Soundtrack"" ""Game Music"" ""Game Music""]",13
"[""Rock"" ""Metal"" ""Power Metal""]",13
Power Metal,13
"[""Alternative a Punk"" ""New Wave Pop"" ""New Wave Pop""]",13
Garage Rock Revival,12
"[""Electronica"" ""Electronica Fusion"" ""Ethno-Lounge Electronica""]",12
Ethno-Lounge Electronica,12
Electronica Fusion,12
"[""Electronica"" ""Downtempo Lounge a Ambient"" ""General Downtempo""]",12
General Downtempo,12
"[""Electronica"" ""Dance a Club"" ""Club Dance""]",11
Club Dance,11
Dance a Club,11
"[""Rock"" ""Metal"" ""Gothic Metal""]",11
Gothic Metal,11
"[""Alternative a Punk"" ""Emo a Hardcore"" ""Emo""]",10
Emo,10
Soul,10
"[""Alternative a Punk"" ""Indie Rock"" ""Dream Pop""]",10
Dream Pop,10
Other Classical,9
"[""Electronica"" ""Downtempo Lounge a Ambient"" ""Trip Hop""]",9
Trip Hop,9
"[""Alternative a Punk"" ""Indie Rock"" ""Post-Modern Electronic Pop""]",8
Post-Modern Electronic Pop,8
"[""Alternative a Punk"" ""Goth"" ""Goth""]",8
Contemporary RaB,8
Jazz Vocals,8
Jazz,8
60's Rock,8
Easy Listening,7
"[""Pop"" ""European Pop"" ""French Pop""]",7
French Pop,7
"[""Classical"" ""Other Classical"" ""General Classical""]",7
General Classical,7
Brit Pop,6
"[""Rock"" ""Metal"" ""Heavy Metal""]",6
Heavy Metal,6
"[""Pop"" ""Western Pop"" ""Teen Boy Band""]",6
Teen Boy Band,6
"[""Rock"" ""70's Rock"" ""Classic Rock""]",6
Classic Rock,6
"[""Alternative a Punk"" ""Garage Rock Revival"" ""Garage Rock Revival""]",6
"[""Pop"" ""Western Pop"" ""Folk Pop""]",6
Folk Pop,6
Country,6
"[""Urban"" ""Western Hip-Hop"" ""Rap"" ""General Hip-Hop"" ""Rap""]",6
General Hip-Hop,6
"[""Alternative a Punk"" ""Indie Rock"" ""Post-Modern Art Music""]",6
Post-Modern Art Music,6
"[""Pop"" ""Western Pop"" ""Singer-Songwriter""]",6
Singer-Songwriter,6
"[""Electronica"" ""House"" ""Progressive House""]",5
Progressive House,5
"[""Alternative a Punk"" ""Indie Rock"" ""Neo-Glam""]",5
Neo-Glam,5
Religious,5
"[""Electronica"" ""Electronica Mainstream"" ""Big Beat""]",5
Big Beat,5
"[""Electronica"" ""House"" ""General House""]",5
General House,5
"[""Pop"" ""Easy Listening"" ""Other Easy Listening""]",5
Other Easy Listening,5
"[""Urban"" ""Western Hip-Hop"" ""Rap"" ""European Hip-Hop"" ""Rap""]",5
European Hip-Hop,5
Spoken Word,5
"[""Other"" ""New Age"" ""New Acoustic""]",5
New Acoustic,5
Reggae,4
"[""Rock"" ""70's Rock"" ""Classic Prog""]",4
Classic Prog,4
"[""Urban"" ""Western Hip-Hop"" ""Rap"" ""East Coast Rap""]",4
East Coast Rap,4
"[""Pop"" ""Western Pop"" ""Teen Pop""]",4
Teen Pop,4
Japanese Rock,4
"[""Pop"" ""European Pop"" ""Chanson""]",4
Chanson,4
"[""Urban"" ""Contemporary RaB"" ""Soul"" ""Urban Crossover""]",4
Urban Crossover,4
"[""Pop"" ""European Pop"" ""Euro Pop""]",4
Euro Pop,4
"[""Jazz"" ""Jazz Vocals"" ""Jazz Vocals""]",4
Children's,4
"[""Rock"" ""60's Rock"" ""British Invasion""]",4
British Invasion,4
"[""Urban"" ""Western Hip-Hop"" ""Rap"" ""Conscious Hip-Hop"" ""Rap""]",4
Conscious Hip-Hop,4
"[""Other"" ""New Age"" ""Adult Alternative New Age""]",4
Adult Alternative New Age,4
"[""Rock"" ""Metal"" ""Rap Metal""]",4
Rap Metal,4
"[""Electronica"" ""House"" ""Euro House""]",3
Euro House,3
"[""Alternative a Punk"" ""Emo a Hardcore"" ""Hardcore""]",3
Hardcore,3
"[""Other"" ""Reggae"" ""Other Reggae""]",3
Other Reggae,3
"[""Alternative a Punk"" ""Brit Pop"" ""Brit Pop""]",3
"[""Other"" ""New Age"" ""Contemporary Instrumental""]",3
Contemporary Instrumental,3
"[""Other"" ""Latin Pop"" ""General Latin Pop""]",3
General Latin Pop,3
Latin Pop,3
"[""Alternative a Punk"" ""Punk"" ""Pre-Punk""]",3
Pre-Punk,3
"[""Rock"" ""70's Rock"" ""Classic Hard Rock""]",3
Classic Hard Rock,3
"[""Alternative a Punk"" ""Indie Rock"" ""Jangle Pop""]",3
Jangle Pop,3
"[""Pop"" ""Japanese Pop"" ""J-Pop""]",3
J-Pop,3
Japanese Pop,3
"[""Traditional"" ""Country"" ""Contemporary Country""]",3
Contemporary Country,3
"[""Rock"" ""70's Rock"" ""Classic Pop-Rock""]",3
Classic Pop-Rock,3
Techno,3
"[""Alternative a Punk"" ""Indie Rock"" ""Neo-Psychedelic""]",3
Neo-Psychedelic,3
"[""Pop"" ""Western Pop"" ""Urban Crossover: Pop""]",3
Urban Crossover: Pop,3
"[""Other"" ""Religious"" ""Christian Alt-Rock""]",3
Christian Alt-Rock,3
"[""Pop"" ""Western Pop"" ""Other Pop""]",3
Other Pop,3
"[""Traditional"" ""Other Traditions"" ""General World""]",3
General World,3
Other Traditions,3
"[""Alternative a Punk"" ""Indie Rock"" ""Post-Rock""]",3
Post-Rock,3
"[""Other"" ""Spoken Word"" ""General Spoken Word""]",3
General Spoken Word,3
"[""Other"" ""Children's"" ""General Children's Music""]",3
General Children's Music,3
"[""Alternative a Punk"" ""Indie Rock"" ""Original Post-Punk""]",3
Original Post-Punk,3
New Romantic,2
"[""Other"" ""Latin Rock"" ""Latin Alternative""]",2
Latin Alternative,2
Latin Rock,2
"[""Alternative a Punk"" ""Indie Rock"" ""Twee Pop""]",2
Twee Pop,2
"[""Soundtrack"" ""Original Film"" ""TV Music"" ""Anime Film"" ""TV Music""]",2
Anime Film,2
"[""Alternative a Punk"" ""Punk"" ""General Punk""]",2
General Punk,2
"[""Classical"" ""Classical Crossover"" ""Classical Crossover Vocal""]",2
Classical Crossover Vocal,2
"[""Rock"" ""Hard Rock"" ""Glam""]",2
Glam,2
Classic RaB,2
Classic Pop Vocals,2
Celtic,2
Dubstep,2
Drum 'n' Bass,2
"[""Alternative a Punk"" ""Punk"" ""Hardcore Punk""]",2
Hardcore Punk,2
"[""Traditional"" ""Classic Country"" ""Outlaw Country""]",2
Outlaw Country,2
Classic Country,2
"[""Other"" ""New Age"" ""General New Age""]",2
General New Age,2
"[""Pop"" ""Easy Listening"" ""Lounge""]",2
Lounge,2
"[""Rock"" ""Japanese Rock"" ""Japanese Rock""]",2
"[""Pop"" ""European Pop"" ""German Pop""]",2
German Pop,2
"[""Classical"" ""Romantic Era"" ""Romantic Era Instrumental""]",2
Romantic Era Instrumental,2
Romantic Era,2
"[""Alternative a Punk"" ""Indie Rock"" ""Chamber Pop""]",2
Chamber Pop,2
"[""Electronica"" ""Techno"" ""Classic Techno""]",2
Classic Techno,2
"[""Rock"" ""70's Rock"" ""Neo-Prog Rock""]",2
Neo-Prog Rock,2
"[""Other"" ""Spoken Word"" ""Audio Book""]",2
Audio Book,2
"[""Rock"" ""Metal"" ""Industrial Metal""]",2
Industrial Metal,2
Power Pop,2
"[""Traditional"" ""Country"" ""General Country""]",2
General Country,2
"[""Rock"" ""Metal"" ""Classic British Metal""]",2
Classic British Metal,2
"[""Urban"" ""Contemporary RaB"" ""Soul"" ""Urban AC""]",2
Urban AC,2
New Wave Rock,2
"[""Rock"" ""Metal"" ""Black Metal""]",2
Black Metal,2
"[""Alternative a Punk"" ""Alternative"" ""Alternative Dance""]",2
Alternative Dance,2
"[""Classical"" ""Classical Era"" ""Classical Era Instrumental""]",2
Classical Era Instrumental,2
Classical Era,2
"[""Pop"" ""European Pop"" ""Mediterranean Pop""]",2
Mediterranean Pop,2
"[""Electronica"" ""Downtempo Lounge a Ambient"" ""Ambient Electronica""]",2
Ambient Electronica,2
Disco,2
"[""Alternative a Punk"" ""Alternative"" ""Funk Metal""]",2
Funk Metal,2
"[""Jazz"" ""Bebop a Modern Jazz"" ""Modern Jazz""]",2
Modern Jazz,2
Bebop a Modern Jazz,2
"[""Classical"" ""Contemporary Era"" ""Contemporary Era Instrumental""]",2
Contemporary Era Instrumental,2
Contemporary Era,2
"[""Jazz"" ""Smooth Jazz"" ""Smooth Jazz Instrumental""]",1
Smooth Jazz Instrumental,1
Smooth Jazz,1
"[""Other"" ""Children's"" ""Disney""]",1
Disney,1
"[""Classical"" ""Other Classical"" ""Opera""]",1
Opera,1
"[""Classical"" ""Other Classical"" ""Classical Solo Instrumental""]",1
Classical Solo Instrumental,1
"[""Alternative a Punk"" ""New Romantic"" ""New Romantic""]",1
"[""Urban"" ""Western Hip-Hop"" ""Rap"" ""Midwestern Rap""]",1
Midwestern Rap,1
"[""Classical"" ""Baroque Era"" ""Baroque Instrumental""]",1
Baroque Instrumental,1
Baroque Era,1
"[""Traditional"" ""Folk"" ""Old Timey""]",1
Old Timey,1
Folk,1
"[""Rock"" ""60's Rock"" ""Acid Rock""]",1
Acid Rock,1
"[""Rock"" ""70's Rock"" ""Classic Soft Rock""]",1
Classic Soft Rock,1
"[""Electronica"" ""Techno"" ""Minimalist Techno""]",1
Minimalist Techno,1
"[""Other"" ""Reggae"" ""Classic Ska""]",1
Classic Ska,1
"[""Urban"" ""Classic RaB"" ""Soul"" ""RaB"" ""Soul""]",1
RaB,1
"[""Traditional"" ""Country"" ""Alternative Country""]",1
Alternative Country,1
"[""Pop"" ""Classic Pop Vocals"" ""Classic Male Vocal Pop""]",1
Classic Male Vocal Pop,1
"[""Urban"" ""Classic RaB"" ""Soul"" ""New Orleans RaB""]",1
New Orleans RaB,1
"[""Soundtrack"" ""Original Film"" ""TV Music"" ""Sci-Fi Film"" ""TV Music""]",1
Sci-Fi Film,1
"[""Rock"" ""50's Rock"" ""Early Rock a Roll""]",1
Early Rock a Roll,1
50's Rock,1
"[""Pop"" ""Classic Pop Vocals"" ""Classic Female Vocal Pop""]",1
Classic Female Vocal Pop,1
"[""Traditional"" ""Celtic"" ""Celtic""]",1
"[""Soundtrack"" ""Original Film"" ""TV Music"" ""Musical Film"" ""TV Music""]",1
Musical Film,1
"[""Urban"" ""Contemporary RaB"" ""Soul"" ""Contemporary RaB""]",1
"[""Electronica"" ""Dubstep"" ""Dubstep""]",1
"[""Electronica"" ""House"" ""U.K. Garage""]",1
U.K. Garage,1
"[""Electronica"" ""Jungle"" ""Drum 'n' Bass"" ""Drum 'n' Bass""]",1
Jungle,1
"[""Rock"" ""Mainstream Rock"" ""Instrumental Rock""]",1
Instrumental Rock,1
"[""Rock"" ""Metal"" ""Speed Metal""]",1
Speed Metal,1
"[""Alternative a Punk"" ""Alternative"" ""Grunge""]",1
Grunge,1
"[""Traditional"" ""Acoustic Blues"" ""Country Blues""]",1
Country Blues,1
Acoustic Blues,1
"[""Rock"" ""Metal"" ""Thrash Metal""]",1
Thrash Metal,1
"[""Other"" ""Meditative a Space"" ""Meditative""]",1
Meditative,1
Meditative a Space,1
"[""Rock"" ""Hard Rock"" ""Stoner Rock""]",1
Stoner Rock,1
"[""Alternative a Punk"" ""Punk"" ""Old School Punk""]",1
Old School Punk,1
"[""Other"" ""Religious"" ""Christian Rock a Metal""]",1
Christian Rock a Metal,1
"[""Pop"" ""Western Pop"" ""World Pop Fusion""]",1
World Pop Fusion,1
"[""Rock"" ""Power Pop"" ""Power Pop""]",1
"[""Other"" ""Religious"" ""Christian Rap""]",1
Christian Rap,1
"[""Rock"" ""70's Rock"" ""Blues Rock""]",1
Blues Rock,1
"[""Rock"" ""60's Rock"" ""Psychedelic Pop""]",1
Psychedelic Pop,1
"[""Alternative a Punk"" ""Indie Rock"" ""Slowcore""]",1
Slowcore,1
"[""Rock"" ""Metal"" ""Pop Metal""]",1
Pop Metal,1
"[""Jazz"" ""Big Band a Swing"" ""Big Band""]",1
Big Band,1
Big Band a Swing,1
"[""Urban"" ""Western Hip-Hop"" ""Rap"" ""Underground Hip-Hop"" ""Rap""]",1
Underground Hip-Hop,1
"[""Alternative a Punk"" ""New Wave Rock"" ""New Wave Rock""]",1
"[""Rock"" ""60's Rock"" ""Surf Rock""]",1
Surf Rock,1
"[""Other"" ""Latin Traditional"" ""Tango""]",1
Tango,1
Latin Traditional,1
"[""Pop"" ""Western Pop"" ""Teen Girl Group""]",1
Teen Girl Group,1
"[""Other"" ""Holiday"" ""Other Holiday""]",1
Other Holiday,1
Holiday,1
"[""Electronica"" ""Downtempo Lounge a Ambient"" ""Neo-Lounge""]",1
Neo-Lounge,1
"[""Electronica"" ""House"" ""Deep House""]",1
Deep House,1
"[""Electronica"" ""Disco"" ""Disco""]",1
"[""Rock"" ""70's Rock"" ""Southern Rock""]",1
Southern Rock,1
"[""Alternative a Punk"" ""Indie Rock"" ""No Wave""]",1
No Wave,1
"[""Pop"" ""Korean Pop"" ""K-Pop""]",1
K-Pop,1
Korean Pop,1
"[""Other"" ""Sound Effects a Ringtones"" ""General Sound Effects""]",1
General Sound Effects,1
Sound Effects a Ringtones,1
"[""Alternative a Punk"" ""Indie Rock"" ""Noise Pop""]",1
Noise Pop,1
"[""Rock"" ""60's Rock"" ""Psychedelic Rock""]",1
Psychedelic Rock,1
